what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516914316611
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1516914322865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1516914324541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914328278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914334884
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914334993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914335118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914341062
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914341121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1516914341195
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914341231
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516914351628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914384231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914389458
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914389553
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914389615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914390376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914393810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914398659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914399155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914399608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914400096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914400805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914402118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914403172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914403741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914404395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1516914406672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1516914406894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1516914409066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1516914411760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914412882
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1516914416500
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516914416705
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516914416760
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914444998
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914445030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914445085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914445913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914458730
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516914466332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914501969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914520778
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914520862
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914520934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914521824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914526939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914532835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914553004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914580659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914581712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914582481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914582894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914583305
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914594282
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516914594338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914595122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914602581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914621826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914655566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914655869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914656146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914656430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914677714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516914677927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516914680008
