what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862480466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862480540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862552233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862580220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862580452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862598293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862601620
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517862601800
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517862601949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862602932
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517862603316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862603455
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517862603475
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517862613366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862615737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862615840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862651712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862651983
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517862651997
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517862655679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862656774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862656905
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517862665209
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517862665264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862665778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862666074
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517862666093
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517862671478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862673102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862673238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1517862675132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1517862676237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862688553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862742286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862925683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862944192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862985616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862985839
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517862999902
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517862999948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517862999998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863002651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517863015863
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517863084301
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517863084354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863084900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863085160
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517863085178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517863098640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863113439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863113552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863198218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863198308
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517863199633
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517863199680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863200276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863200535
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517863200551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863217168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517863218748
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517863219912
