what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518610756726
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518610774374
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518610774429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518610775091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518610782485
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518610898156
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518610898204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518610898780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518610903274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518610937187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518610943726
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611118579
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611118628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611119214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611147134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518611321181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518611321950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611328925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611333762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518611463794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1518611580875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518611582534
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611596986
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611597034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611597609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611602337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518611643866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518611644164
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611691874
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611691930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611692536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611695650
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1518611764088
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518611764967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518611767777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611802210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611805204
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611805272
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611805323
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518611805370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518611806004
