what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517232813210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517232814670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517232863215
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1517232873181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517232913057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517232952997
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517232994509
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517232994682
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517232994846
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517232995002
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517232995341
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517232995724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1517233046837
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233112773
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233112980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233113033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233115675
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233148430
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233148517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233149397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233158747
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233169493
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233169567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233170441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233175279
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233181104
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233181170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233182056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233184867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517233187461
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233189931
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233190003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233190797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233201444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233218081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233259553
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233263658
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233263754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233265268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233268888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233273678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233273762
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233275039
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233275101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233276739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233288548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233410959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233456145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517233486396
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233503979
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233504057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233504145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233506084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233509421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233509503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233511351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233525194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1517233567193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1517233568072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1517233568615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1517233570787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1517233571065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1517233571285
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233579094
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233579171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233581895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233582956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233583686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233583808
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233818257
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233818332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233820394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233826088
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233834841
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233834925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233837835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233843678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233844025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233844117
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233849507
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233849574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233851544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233854447
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233858050
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517233858140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233860542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233863297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233864309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233864409
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517233898717
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517233898964
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517233899148
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1517233899622
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1517233901817
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1517233902038
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1517233902214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517233906757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517233911233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517233943527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234026801
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234057310
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234057410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234057494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234059587
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234063259
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234063325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234065381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234068104
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234081684
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234081780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234083916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234122962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517234123914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234195101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234195207
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234196825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234196903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234198876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517234209179
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1517234221604
