what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512423895505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424000122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424033137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424033281
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424034808
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424034847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424035238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424057374
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1512424104071
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1512424109347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424140696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424143470
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424145314
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424145345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424145708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424178698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512424229057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512424229431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512424229898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512424230334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512424230857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424241147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424241252
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1512424244020
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1512424244112
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1512424247027
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1512424247056
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512424247200
closed,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1512424247211
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512424248653
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1512424248690
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512424248714
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424251049
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424251092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424251482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424278914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424328811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424328964
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424330798
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424330830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424331173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424352800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424358861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424358983
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424360821
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424360842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424361207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424368953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424373644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424373766
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424375573
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424375622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424376005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424397961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424415013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424415103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424418709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424465410
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424474355
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424474388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424474767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424488895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424497299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424497424
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424500330
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424500370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424500726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424523339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424525092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424533426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424533942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424550584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424553853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424561088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424561527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424589777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424658064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424664775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424665142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424667535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1512424667547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424672488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424689913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424755396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424778014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424783034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424853680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424896646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424896752
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424959557
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512424959596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512424960001
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1512425008312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512425008943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425009237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425009796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425010074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425010325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425010649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425011039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1512425011643
