what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040592207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040670765
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518040693509
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518040693579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040693620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040695665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040698894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040699037
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518040699129
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518040704448
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518040704499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040705072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518040712023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041001023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041001238
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518041003128
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518041003172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041003751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041030872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041051563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041051784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041053462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041075311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041363083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041363096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041379094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041469574
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1518041553557
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518041553611
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518041659846
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518041660060
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518041660293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041791528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041829195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518041844965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518041905323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518041920120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518041922444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041933466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041933696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518041935798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041963950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518041979140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1518041988027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1518042009024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042023530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1518042079256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042082780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042084365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042085410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042086670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042090733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042091931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042092787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518042096095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042129858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518042132644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042146933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042154163
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042154409
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042154455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042154479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042158052
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1518042162723
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518042163644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518042167567
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042197292
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042197338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042197936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042209928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042215960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042250979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042252024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042265645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518042294232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518042294423
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042363742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042363783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042364337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042420705
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042467494
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042468400
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042468640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042468867
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042469327
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042469546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042469747
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042469955
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042470177
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042470415
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042470642
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042470856
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518042471096
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042484723
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518042484765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042485353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042516558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518042517231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043093412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043094282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043126364
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043135794
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043135972
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043136129
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043136294
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043136454
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043136611
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043136762
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043136937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043143161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043146019
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043146203
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043146380
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043146538
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043146862
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043147095
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043147313
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043147745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1518043191299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043199451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043203152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043204745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043206522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043207883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043209961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043211435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043212811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043214178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1518043217944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043239587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043240270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043240704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043241970
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043251231
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043251434
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043251599
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043251773
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043252506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043252669
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043252809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043252980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043254260
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043255160
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043255345
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043255508
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043255687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043255842
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043256013
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043256224
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043260903
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043261075
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1518043261237
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267013
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267201
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267365
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267521
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267837
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043267995
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1518043268338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043277015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518043283729
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518043289882
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1518043289934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043290900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043293623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043294594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518043294826
