what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420393825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420396899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420403708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420425494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420427775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420428828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420439084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512420628464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512421132562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512421235040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512421294481
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512421306887
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512421306987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512421307368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512421315849
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1512421348782
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512421365290
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512421365503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512421380089
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512421380136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512421380515
