what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900057537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900059382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900059472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900059615
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900063189
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900063224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900063637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900070101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900114058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900120733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900141145
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900168205
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900168253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900168656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900172571
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900220608
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900220651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900221009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900228243
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1511900258152
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1511900258408
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1511900258852
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900285077
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900285110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900285489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1511900289360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900315778
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1511900318043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900319181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1511900322897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1511900329584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1511900332585
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900345319
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1511900345363
