what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1518008666812
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1518008666813
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1518008666814
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1518008666814
os,sysinfo,,,"win32",1518008666816
arch,sysinfo,,,"x86",1518008666816
ws,sysinfo,,,"win32",1518008666816
locale,sysinfo,,,"en_GB",1518008666816
processors,sysinfo,,,"4",1518008666816
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1518008666816
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1518008666816
java.specification.name,sysinfo,,,"Java Platform API Specification",1518008666816
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1518008666816
java.specification.version,sysinfo,,,"1.6",1518008666816
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1518008666816
java.version,sysinfo,,,"1.6.0_02",1518008666816
java.vm.info,sysinfo,,,"mixed mode",1518008666816
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1518008666816
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1518008666816
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1518008666816
java.vm.specification.version,sysinfo,,,"1.0",1518008666816
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1518008666816
java.vm.version,sysinfo,,,"1.6.0_02-b06",1518008666816
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1518008672705
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008681706
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1518008689002
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1518008689070
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008730155
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1518008743927
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008752138
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008752185
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008756287
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1518008764015
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1518008764973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518008768341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518008782974
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1518008782987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008784943
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008789732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008792741
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008817315
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008820173
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008831671
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1518008834372
