what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1512079482369
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1512079519559
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1512079519770
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1512079519931
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512079521360
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512079521534
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512079521715
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079636811
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079636862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079637295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079685185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1512079716765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512079720242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079726962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079727091
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079728916
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079728940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079729394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079743943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079772954
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079799029
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079801078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079801126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079801524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079838249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079886305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079888344
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079891249
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079891294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079891708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079896179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079902857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079944030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079950287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079950451
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079951855
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512079951899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079952361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512079956790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1512080046587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1512080051879
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1512080052198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1512080054055
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512080154730
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512080154969
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512080155350
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512080155594
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1512080155786
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1512080156640
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512080191587
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512080191633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080192071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080200755
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512080212940
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1512080212985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080213394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080260355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080262161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080406632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512080416112
