what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1516453020287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1516453026663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516453358148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516453371056
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516453371747
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1516453385084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516453397364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516453410230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516453410452
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516453410477
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516453410542
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1516453410758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516453482179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516453482402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1516453490654
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1516453511900
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1516453512165
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1516453512405
